实体名,谷歌,百度,有道
"    ""China Type 87 ASW Rocket Salvo [6 rnds] "",","中国 87 式反潜火箭齐射 [6 发],","    ""中国87型反潜火箭齐射6 rnds"",","中国87型反舰反潜战火箭齐射,   "
"    ""China Type 88 (3-face AESA, KJ-2000, KJ-500)"",","中国88式（三面AESA，KJ-2000，KJ-500）,","    ""中国88型（三面AESA，KJ-2000，KJ-500）"",","中国88型(三面AESA,?KJ-2000,?KJ-500),   "
"    ""China Type 88C [EO]"",","中国88C型[EO],","    ""中国88C型EO"",","中国88C型[EO],   "
"    ""China Type 88C [Laser Rangefinder]"",","中国88C型[激光测距仪],","    ""国产88C型激光测距仪"",","中国88C型激光测距仪,   "
"    ""China Type 88C [Radar/EO/Laser] (Group, GFCR, 30mm)"",","中国88C型[雷达/电光/激光]（组，GFCR，30mm）,","    ""中国88C型雷达/光电/激光（组，GFCR，30mm）"",","中国88C型[雷达/光电/激光](GFCR组，30毫米),   "
"    ""China Type 88C [Radar]"",","中国88C型[雷达],","    ""中国88C型雷达"",","中国88C型雷达,   "
"    ""China Type 902 [Skyguard]"",","中国902型[天卫队],","    ""中国902型天盾"",","中国902型[天空卫士],   "
"    ""China Type 921-A Golf Ball (Submarine, Stop Light)"",","中国921-A型高尔夫球（潜水艇、刹车灯）,","    ""中国921-A型高尔夫球（潜水艇、刹车灯）"",","中国921-A型高尔夫球(潜水艇、停车灯),   "
"    ""China Type 923-1 Jug Pair (RW-23-1, Watch Dog)"",","中国923-1型水罐对（RW-23-1，看门狗）,","    ""中国923-1型水壶对（RW-23-1，看门狗）"",","China?Type?923-1?Jug?Pair?(RW-23-1,?watchdog),   "
"    ""China Type 928"",","中国928型,","    ""中国928型"",","中国928型,   "
"    ""China Type 930-2"",","中国930-2型,","    ""中国930-2型"",","中国930?-?2型,   "
"    ""China Type 981 [Newton Beta] (NRJ-5, NJ-81, RWD-8,)"",","中国 981 型 [牛顿 Beta] (NRJ-5, NJ-81, RWD-8,),","    ""中国981型牛顿贝塔（NRJ-5、NJ-81、RWD-8）"",","中国981型[牛顿贝塔](NRJ-5,?NJ-81,?RWD-8，),   "
"    ""China Type 984 (Group, RAMSES)"",","中国984型（群，RAMSES）,","    ""中国984型（拉美西斯集团）"",","中国984型,   "
"    ""China Type 984 [ECM] (RAMSES)"",","中国984型[ECM]（RAMSES）,","    ""中国984型发动机控制模块（拉姆西斯）"",","中国984型[ECM]?(RAMSES),   "
"    ""China Type 984 [RWR] (RAMSES)"",","中国 984 型 [RWR] (RAMSES),","    ""中国984型RWR（拉姆西斯）"",","中国984型,   "
"    ""China Type NRJ-6A (Group, Type 052C/D)"",","中国NRJ-6A型（组别，052C/D型）,","    ""中国NRJ-6A型（组，052C/D型）"",","中国NRJ-6A型(052C/D型),   "
"    ""China Type NRJ-6A [ECM]"",","中国 NRJ-6A 型 [ECM],","    ""国产NRJ-6A型发动机控制模块"",","中国型NRJ-6A?[ECM],   "
"    ""China Type NRJ-6A [RWR]"",","中国 NRJ-6A 型 [RWR],","    ""中国NRJ-6A型RWR"",","中国NRJ-6A型,   "
"    ""China WJ-2A (H-6C, Rear)"",","中国WJ-2A（H-6C，后）,","    ""中国WJ-2A（H-6C，后）"",","中国WJ-2A?(H-6C，后方),   "
"    ""China YLC-15"",","中国YLC-15,","    ""中国YLC-15"",","中国YLC-15,   "
"    ""China YLC-2 [High Guard] (Early Warning)"",","中国YLC-2[高防]（预警）,","    ""中国YLC-2高警戒（预警）"",","中国YLC-2[高警戒](预警),   "
"    ""China YLC-2V Mod [Type 305B] (Early Warning)"",","中国YLC-2V Mod [305B型]（预警）,","    ""中国YLC-2V 305B型Mod（预警）"",","中国YLC-2V型[305B型](预警),   "
"    ""China YLC-2V [High Guard] (Early Warning)"",","中国YLC-2V[高防]（预警）,","    ""中国YLC-2V高防护（预警）"",","中国YLC-2V(预警),   "
"    ""China YLC-4"",","中国YLC-4,","    ""中国YLC-4"",","中国YLC-4,   "
"    ""China YLC-6 (Early Warning)"",","中国YLC-6（预警）,","    ""中国YLC-6（预警）"",","中国YLC-6(预警),   "
"    ""China YLC-8"",","中国YLC-8,","    ""中国YLC-8"",","中国YLC-8,   "
"    ""China YLC-8A"",","中国YLC-8A,","    ""中国YLC-8A"",","中国YLC-8A,   "
"    ""China YLC-8B"",","中国YLC-8B,","    ""中国YLC-8B"",","中国YLC-8B,   "
"    ""China Z-20F Dipping Sonar (Z-20F)"",","中国Z-20F浸入式声纳（Z-20F）,","    ""中国Z-20F吊放声纳（Z-20F）"",","中国Z-20F吊放声纳,   "
"    ""China kg-600 DECM Pod (2014)"",","中国kg-600 DECM吊舱（2014）,","    ""中国kg-600 DECM吊舱（2014年）"",","中国kg-600?DECM吊舱(2014),   "
"    ""China kg-800 ECM Pod "",","中国kg-800 ECM Pod,","    ""中国kg-800发动机控制模块"",","中国kg-800?ECM吊舱,   "
"    ""Chinook H-47 (ER) [MH-47G Blk II] - 2026"",","支奴干 H-47 (ER) [MH-47G Blk II] - 2026,","    ""奇努克H-47（ER）MH-47G Blk II-2026"",","支努干H-47?(ER)?[MH-47G?block?II]?-?2026,   "
"    ""Chinook HC.1 [CH-47C] - 1981, 30x + 8x"",","奇努克 HC.1 [CH-47C] - 1981，30x + 8x,","    ""奇努克HC。1台CH-47C-1981，30x+8x"",","Chinook?HC.1?[CH-47C]?-?1981,?30x?+?8x,   "
"    ""Chinook HC.2 [CH-47D] - 1983"",","奇努克 HC.2 [CH-47D] - 1983,","    ""奇努克HC。2 CH-47D-1983"",","支努干HC.2?[CH-47D]?-?1983,   "
"    ""Chinook HC.2a [CH-47D] - 1997, 6x"",","奇努克 HC.2a [CH-47D] - 1997, 6x,","    ""奇努克HC。2a CH-47D-1997，6x"",","Chinook?HC.2a?[CH-47D]?-?1997,?6x,   "
"    ""Chinook HC.4 [CH-47D] - 2012, Ex-HC.2/2a"",","奇努克 HC.4 [CH-47D] - 2012, Ex-HC.2/2a,","    ""奇努克HC。4 CH-47D-2012，前HC。2/2a"",","Chinook?HC.4?[CH-47D]?-?2012,?Ex-HC.2/2a,   "
"    ""Chinook HC.5 [CH-47SD] - 2012, Ex-HC."",","Chinook HC.5 [CH-47SD] - 2012, Ex-HC。,","    ""奇努克HC。5 CH-47SD-2012，前HC。"",","Chinook?HC.5?[CH-47SD]?-?2012，前hc?.,   "
"    ""Chinook HC.6 [CH-47F] - 2015"",","奇努克 HC.6 [CH-47F] - 2015,","    ""奇努克HC。6 CH-47F-2015"",","Chinook?HC.6?[CH-47F]?-?2015,   "
"    ""Chong Jin [Chaho Variant] - 1976"",","冲劲[查霍变种]- 1976,","    ""崇敬茶荷变型-1976"",","冲进[潮汕变奏曲]-?1976,   "
"    ""Chop Rest (HQ-2 Search Radar? Spoon Rest A?)"",","Chop Rest（HQ-2 搜索雷达？勺架 A？）,","    ""刀架（HQ-2搜索雷达？刀架A？）"",","突击休息(HQ-2搜索雷达? 勺子休息?),   "
"    ""Chu-SAM FCR (2008)"",","Chu-SAM FCR (2008),","    ""朱三福（2008）"",","Chu-SAM货代(2008),   "
"    ""Chung Shyang II [Albatross] UAV - 2011"",","Chung Shyang II [信天翁] 无人机 - 2011,","    ""钟士扬II信天翁无人机-2011"",","信天翁II型无人机-?2011,   "
"    ""Citabria B - 0, 3x, Service Dates Unkn"",","Citabria B - 0, 3x, 服役日期未知,","    ""Citabria B-0，3x，服务日期未知"",","Citabria?B?-?0,3x，服务日期Unkn,   "
"    ""Citabria B - 1964, 7KCAB"",","Citabria B - 1964, 7KCAB,","    ""西塔布里亚B-1964，7KCAB"",","西塔布利亚B?-?1964,?7KCAB,   "
"    ""Citabria B - 1999, 1x"",","Citabria B - 1999, 1x,","    ""西塔布里亚B-1999，1x"",","西塔布利亚B?-?1999,?1x,   "
"    ""Civilian (1x)"",","平民 (1x),","    ""民用（1x）"",","平民(1?x),   "
"    ""Civilian Dhow [15m] - 0"",","民用单桅帆船 [15m] - 0,","    ""民用单桅帆船15米-0米"",","民用独桅帆船[15米]-?0,   "
"    ""Civilian Dhow [22m, Armed] - 0, Pirate"",","民用单桅帆船 [22m，武装] - 0，海盗,","    ""民用单桅帆船22米，武装-0，海盗"",","民用单桅帆船[22米，武装]-?0，海盗,   "
"    ""Civilian Dhow [22m] - 0"",","民用单桅帆船 [22m] - 0,","    ""民用单桅帆船22m-0"",","民用独桅帆船[22m]?-?0,   "
"    ""Civilian Go Fast [13m] - 0, Cigarette, Racing"",","Civilian Go Fast [13m] - 0, Cigarette, Racing,","    ""平民快跑13米0，香烟，赛车"",","平民快走[13米]-?0，香烟，赛车,   "
"    ""Civilian Jet Ski - 0"",","民用喷气滑雪 - 0,","    ""民用摩托艇-0"",","民用水上摩托车-?0,   "
"    ""Civilian Junk [35m, Armed] - 0, Pirate"",","平民垃圾 [35m，武装] - 0，海盗,","    ""民用垃圾3500万件，武装-0件，海盗"",","民用垃圾[35m，武装]-?0，海盗,   "
"    ""Civilian Junk [35m, Sail, Armed] - 0, Pirate"",","平民垃圾 [35m，帆，武装] - 0，海盗,","    ""民用35米帆船，帆，武装-0，海盗"",","民用舢舨[35米，帆，武装]-?0，海盗,   "
"    ""Civilian Junk [35m, Sail] - 0"",","民用垃圾 [35m, Sail] - 0,","    ""民用帆船35米，帆-0"",","民用帆船[35米，航行]-?0,   "
"    ""Civilian Junk [35m] - 0"",","民用垃圾 [35m] - 0,","    ""民用垃圾35m-0"",","民用垃圾[35m]?-?0,   "
"    ""Civilian Life Boat [11m] - 0"",","平民救生艇 [11m] - 0,","    ""民用救生艇11m-0"",","民用救生艇[11米]-?0,   "
"    ""Civilian Life Boat [7m] - 0"",","平民救生艇 [7m] - 0,","    ""民用救生艇7m-0"",","民用救生艇[7米]-?0,   "
"    ""Civilian Life Raft [10m] - 0"",","民用救生筏 [10m] - 0,","    ""民用救生筏10m-0"",","民用救生筏[10米]-?0,   "
"    ""Civilian Motor Yacht [13m] - 0"",","民用机动游艇 [13m] - 0,","    ""民用机动游艇13m-0"",","民用机动游艇[13米]-?0,   "
"    ""Civilian Motor Yacht [38m] - 0, 125 feet"",","民用机动游艇 [38m] - 0, 125 英尺,","    ""民用机动游艇38m-0125英尺"",","民用机动游艇[38米]-?0.125英尺,   "
"    ""Civilian RHIB [11m, Armed] - 0, LAMDIS Mount TEST"",","Civilian RHIB [11m, Armed] - 0, LAMDIS Mount TEST,","    ""民用RHIB 11m，武装-0，LAMDIS挂载测试"",","民用RHIB?[11m，武装]-?0,LAMDIS?Mount?TEST,   "
"    ""Civilian RHIB [11m, Armed] - 0, Pirate"",","平民 RHIB [11m，武装] - 0，海盗,","    ""平民RHIB 11m，武装-0，海盗"",","平民RHIB[1100米，武装]-?0，海盗,   "
"    ""Civilian RHIB [11m] - 0"",","民用 RHIB [11m] - 0,","    ""民用RHIB 11m-0"",","民用RHIB?[11m]?-?0,   "
"    ""Civilian RHIB [7m, Armed] - 0, Pirate"",","平民 RHIB [7m，武装] - 0，海盗,","    ""平民RHIB 7m，武装-0，海盗"",","民用RHIB?[7m，武装]-?0，海盗,   "
"    ""Civilian RHIB [7m] - 0"",","民用 RHIB [7m] - 0,","    ""民用RHIB 7m-0"",","民用RHIB?[7m]?-?0,   "
"    ""Civilian Sailboat [20m, High-Speed] - 0, 15kt Cruise, 24kt Max"",","民用帆船 [20m, 高速] - 0, 15kt Cruise, 24kt Max,","    ""民用帆船20m，高速-0，15kt巡航，最大24kt"",","民用帆船[20米，高速]-?0.15?kt巡航，24kt?Max,   "
"    ""Civilian Sailboat [23m] - 0"",","民用帆船 [23m] - 0,","    ""民用帆船23m-0"",","民用帆船[23米]-?0,   "
"    ""Civilian Sailboat [38m] - 0"",","民用帆船 [38m] - 0,","    ""民用帆船38m-0"",","民用帆船[38m]?-?0,   "
"    ""Civilian Sampan - 0, Armed"",","民用舢板 - 0, 武装,","    ""民用舢舨-0，武装"",","民用舢板-?0，武装,   "
"    ""Civilian Small Boat [7m] - 0"",","民用小船 [7m] - 0,","    ""民用小艇7m-0"",","民用小船[7米]-?0,   "
"    ""Civilian Small boat [7m] - 0"",","民用小船 [7m] - 0,","    ""民用小艇7m-0"",","民用小船[7米]-?0,   "
"    ""Civilians"",","平民,","    ""平民"",","平民,   "
"    ""Clam Pipe [Obzor-K] (Tu-160)"",","蛤蜊管 [Obzor-K] (Tu-160),","    ""夹管Obzor-K（Tu-160）"",","蛤蚌管[Obzor-K](图-160),   "
"    ""Clam Pipe [Obzor-MS] (Tu-95MS)"",","Clam Pipe [Obzor-MS] (Tu-95MS),","    ""夹管Obzor MS（Tu-95MS）"",","蛤蚌管[Obzor-MS]?(Tu-95MS),   "
"    ""Clam Shell [5N66] (76N6, 5N66M)"",","蛤壳 [5N66] (76N6, 5N66M),","    ""蛤壳5N66（76N6，5N66M）"",","蛤壳”(76n6,5n66m),   "
"    ""Cluster Lance [MG-521 Agat Active/Passive Fixed Bottom Array] (1988)"",","Cluster Lance [MG-521 Agat 主动/被动固定底部阵列]（1988）,","    ""集群枪MG-521 Agat主动/被动固定底部阵列（1988年）"",","簇枪[MG-521阿加特主动/被动固定底部阵列](1988),   "
"    ""Cluster Lance [MGK-607 Sever Fixed Bottom Array]"",","集群长枪[MGK-607 Sever固定底阵],","    ""集群枪MGK-607服务器固定底部阵列"",","簇枪[MGK-607服务器固定底部阵列],   "
"    ""Cluster Lance [MGK-608 Sever Fixed Bottom Array]"",","集群长枪[MGK-608 Sever固定底部阵列],","    ""集群枪MGK-608服务器固定底部阵列"",","簇枪[MGK-608服务器固定底部阵列],   "
"    ""Cluster Lance [MGK-608M Sever Fixed Bottom Array]"",","簇枪 [MGK-608M 服务器固定底部阵列],","    ""集群枪MGK-608M服务器固定底部阵列"",","簇枪[MGK-608M服务器固定底部阵列],   "
"    ""Coastal Arty Bty (100mm KS-19 x 3)"",","Coastal Arty Bty (100mm KS-19 x 3),","    ""海岸艺术Bty（100毫米KS-19 x 3）"",","海岸火炮Bty?(100mm?KS-19?x?3),   "
"    ""Coastal Arty Bty (120mm m/80 Towed Gun x 4, ArtE-727 x 2, ArtE-728 x 2) (2x)"",","Coastal Arty Bty（120 毫米 m/80 牵引枪 x 4，ArtE-727 x 2，ArtE-728 x 2）（2x）,","    ""海岸艺术Bty（120mm m/80拖曳式火炮x 4，ArtE-727 x 2，ArtE-728 x 2）（2x）"",","海岸火炮Bty?(120mm?m/80拖式火炮x?4,?ArtE-727?x?2,?ArtE-728?x?2)?(2x),   "
"    ""Coastal Arty Bty (120mm m/80 Towed Gun x 4, ArtE-727 x 2, ArtE-734 x 2) (2x)"",","Coastal Arty Bty（120 毫米 m/80 牵引枪 x 4，ArtE-727 x 2，ArtE-734 x 2）（2x）,","    ""海岸艺术Bty（120mm m/80拖曳式火炮x 4，ArtE-727 x 2，ArtE-734 x 2）（2x）"",","海岸火炮Bty?(120mm?m/80拖式火炮x?4,?ArtE-727?x?2,?ArtE-734?x?2)?(2x),   "
"    ""Coastal Arty Bty (122mm M1938 Howitzer x 6) (Bunker)"",","Coastal Arty Bty（122 毫米 M1938 榴弹炮 x 6）（地堡）,","    ""海岸艺术Bty（122毫米M1938榴弹炮×6）（掩体）"",","海岸火炮Bty(122毫米M1938榴弹炮x?6)(地堡),   "
"    ""Coastal Arty Bty (130mm/52 M-46 M1954 Howitzer x 6) (Bunker)"",","Coastal Arty Bty（130 毫米/52 M-46 M1954 榴弹炮 x 6）（地堡）,","    ""海岸艺术Bty（130mm/52M-46M1954榴弹炮×6）（掩体）"",","海岸火炮Bty(130毫米/52?M-46?M1954榴弹炮x?6)(地堡),   "
"    ""Coastal Arty Bty (130mm/52 M-46 M1954 Towed Howitzer x 6)"",","Coastal Arty Bty（130 毫米/52 M-46 M1954 拖曳榴弹炮 x 6）,","    ""海岸艺术Bty（130mm/52M-46M1954牵引榴弹炮×6）"",","海岸火炮Bty(130毫米/52?M-46?M1954拖式榴弹炮x6),   "
"    ""Coastal Arty Bty (130mm/58 SM-4-1 Towed Gun x 6)"",","Coastal Arty Bty (130 毫米/58 SM-4-1 拖曳炮 x 6),","    ""海岸艺术Bty（130mm/58 SM-4-1牵引炮x 6）"",","海岸火炮Bty?(130mm/58?SM-4-1拖曳炮x?6),   "
"    ""Coastal Arty Bty (130mm/58 SM-4-1 x 6) (Bunker)"",","Coastal Arty Bty (130mm/58 SM-4-1 x 6) (Bunker),","    ""海岸艺术Bty（130mm/58 SM-4-1 x 6）（掩体）"",","海岸火炮Bty(130毫米/58?SM-4-1?x?6)(掩体),   "
"    ""Coastal Arty Bty (152mm Coastal Gun x 6)"",","Coastal Arty Bty (152mm Coastal Gun x 6),","    ""海岸艺术Bty（152毫米海岸炮x 6）"",","海岸火炮Bty?(152mm海岸炮x6),   "
"    ""Coastal Arty Bty (152mm m/37 Towed Gun x 4, ArtE-719)"",","Coastal Arty Bty（152 毫米 m/37 牵引枪 x 4，ArtE-719）,","    ""海岸艺术Bty（152毫米m/37拖曳式火炮x 4，ArtE-719）"",","海岸火炮Bty?(152mm?m/37拖式火炮x4,?ArtE-719),   "
"    ""Coastal Arty Bty (152mm/25 D-20 M1955 Howitzer x 6)"",","Coastal Arty Bty（152 毫米/25 D-20 M1955 榴弹炮 x 6）,","    ""海岸艺术Bty（152mm/25D-20M1955榴弹炮×6）"",","海岸火炮Bty?(152mm/25?D-20?M1955榴弹炮x?6),   "
"    ""Coastal Arty Bty (155mm/39 Tampella 155 K83 Towed Gun x 4)"",","Coastal Arty Bty（155 毫米/39 坦佩拉 155 K83 牵引枪 x 4）,","    ""滨海艺术Bty（155mm/39坦佩拉155 K83牵引炮x 4）"",","海岸火炮Bty(155毫米/39坦佩拉155?K83拖曳炮x?4),   "
"    ""Coastal Arty Bty (210mm m/42 Towed Gun x 4, ArtE-719)"",","Coastal Arty Bty（210 毫米 m/42 拖曳炮 x 4，ArtE-719）,","    ""海岸艺术Bty（210mm m/42拖曳式火炮x 4，ArtE-719）"",","海岸火炮Bty(210毫米/42拖式火炮x?4,?ArtE-719),   "
"    ""Coastal Arty Bty (75mm m/65 Towed Gun x 3, ArtE-719)"",","Coastal Arty Bty（75 毫米 m/65 拖曳炮 x 3，ArtE-719）,","    ""海岸艺术Bty（75毫米m/65拖曳式火炮x 3，ArtE-719）"",","海岸火炮Bty?(75mm?m/65拖式火炮x?3,?ArtE-719),   "
"    ""Coastal Arty Bty (76mm M1902 Bty Towed Dug-in x 6) (Bunker)"",","Coastal Arty Bty（76 毫米 M1902 Bty 拖曳式挖掘机 x 6）（地堡）,","    ""沿海码头Bty（76毫米M1902 Bty，拖曳式，挖入x 6）（掩体）"",","海岸火炮Bty?(76mm?M1902?Bty拖车防空洞x?6)(地堡),   "
"    ""Coastal Arty Bty (85mm D-44 Howitzer x 6) (Bunker)"",","Coastal Arty Bty（85 毫米 D-44 榴弹炮 x 6）（地堡）,","    ""海岸艺术Bty（85毫米D-44榴弹炮×6）（掩体）"",","海岸火炮Bty(85毫米D-44榴弹炮x?6)(地堡),   "
"    ""Coastal Arty Bty (88mm/56 Towed Gun x 4)"",","Coastal Arty Bty (88mm/56 拖曳炮 x 4),","    ""海岸艺术Bty（88mm/56牵引炮x 4）"",","海岸火炮Bty(88毫米/56拖式火炮x?4),   "
"    ""Coastal Fort (100mm/56 TK Armored Turret x 4)"",","沿海堡垒（100 毫米/56 TK 装甲炮塔 x 4）,","    ""沿海堡垒（100毫米/56塔式装甲炮塔x 4）"",","海岸炮台(100mm/?56tk装甲炮塔x?4),   "
"    ""Coastal Fort (100mm/56 TK Armored Turret x 4) (RANTA)"",","沿海堡垒（100 毫米/56 TK 装甲炮塔 x 4）（RANTA）,","    ""沿海堡垒（100毫米/56塔式装甲炮塔x 4）（兰塔）"",","海岸堡(100mm/?56tk装甲炮塔x?4)?(RANTA),   "
"    ""Coastal Fort (102mm/60 O Open Well x 4)"",","海岸炮台 (102mm/60 O 开井 x 4),","    ""沿海要塞（102mm/60o裸井x 4）"",","海岸炮台(102mm/?60o开井×?4口),   "
"    ""Coastal Fort (105mm SKC/32 Casemate x 2)"",","沿海堡垒（105mm SKC/32 Casemate x 2）,","    ""沿海堡垒（105mm SKC/32 Casemate x 2）"",","海岸堡垒(105mm?SKC/32?Casemate?x?2),   "
"    ""Coastal Fort (105mm SKC/32 Open Well x 3)"",","沿海堡垒（105mm SKC/32 开井 x 3）,","    ""沿海堡垒（105mm SKC/32裸井x 3）"",","海岸堡垒(105毫米SKC/32口开井x?3),   "
"    ""Coastal Fort (105mm SKC/32 Turret x 1, Casemate x 2)"",","沿海堡垒（105mm SKC/32 炮塔 x 1，炮台 x 2）,","    ""沿海要塞（105毫米SKC/32炮塔x 1，炮台x 2）"",","海岸堡垒(105mm?SKC/32炮塔x?1,?Casemate?x?2),   "
"    ""Coastal Fort (105mm SKC/32 Turret x 2)"",","海岸炮台 (105mm SKC/32 炮塔 x 2),","    ""沿海堡垒（105毫米SKC/32炮塔x 2）"",","海岸炮台(105mm?SKC/32炮塔x?2),   "
"    ""Coastal Fort (105mm SKC/32 Turret x 2, Casemate x 2)"",","沿海堡垒（105 毫米 SKC/32 炮塔 x 2，炮台 x 2）,","    ""沿海要塞（105mm SKC/32炮塔x 2，炮台x 2）"",","海岸堡垒(105mm?SKC/32炮塔x?2,?Casemate?x?2),   "
"    ""Coastal Fort (105mm SKC/32 Turret x 3)"",","海岸炮台 (105mm SKC/32 炮塔 x 3),","    ""沿海堡垒（105毫米SKC/32炮塔x 3）"",","海岸炮台(105mm?SKC/32炮塔x?3),   "
"    ""Coastal Fort (105mm SKC/32 Turret x 4)"",","沿海堡垒（105 毫米 SKC/32 炮塔 x 4）,","    ""沿海堡垒（105毫米SKC/32炮塔x 4）"",","海岸炮台(105毫米SKC/32炮塔x?4),   "
"    ""Coastal Fort (105mm m/50 Turret x 2, ArtE-719)"",","沿海堡垒（105mm m/50 炮塔 x 2，ArtE-719）,","    ""沿海堡垒（105mm m/50炮塔x 2，ArtE-719）"",","海岸堡(105毫米/50炮塔x?2,?ArtE-719),   "
"    ""Coastal Fort (105mm m/50 Turret x 2, ArtE-724)"",","沿海堡垒（105 毫米 m/50 炮塔 x 2，ArtE-724）,","    ""沿海堡垒（105mm m/50炮塔x 2，ArtE-724）"",","海岸炮台(105毫米/50炮塔x?2,?ArtE-724),   "
"    ""Coastal Fort (105mm/58 O Open Well x 4)"",","海岸炮台 (105mm/58 O 开井 x 4),","    ""沿海要塞（105mm/58o裸井x 4）"",","海岸炮台(105毫米/58?O开井x?4),   "
"    ""Coastal Fort (120mm m/70 Armored Turret x 3, ArtE-724 x 2) (ERSTA)"",","沿海堡垒（120 毫米 m/70 装甲炮塔 x 3，ArtE-724 x 2）（ERSTA）,","    ""海岸要塞（120mm m/70装甲炮塔x 3，ArtE-724 x 2）（ERSTA）"",","海岸炮台(120mm?m/70装甲炮塔x?3,?ArtE-724?x?2)?(ERSTA),   "
